language,Description,Title
french,"- **🌍 Mondes partagés beaucoup plus sensés**
  - J'ai amélioré la continuité lorsque plusieurs personnages partagent le même monde. Le jeu réutilise désormais mieux les lieux déjà valides et laisse moins de place à l'invention de « la même zone, mais avec un autre nom et un autre chapeau ».
  - J'ai également corrigé les informations de localisation dans le sélecteur et sur la fiche, afin que chaque personnage affiche sa localisation réelle et non celle d'un voisin.
- **👥 PNJ plus cohérents et moins sujets au dédoublement**
  - J'ai renforcé la logique afin qu'un PNJ déjà existant réapparaisse en tant que lui-même lorsque cela est approprié, au lieu de se réinventer avec un autre nom, un autre visage ou une nouvelle carte sortie du néant.
  - De plus, une inimitié provoquée par un personnage ne devrait plus contaminer tous les autres par magie. Si Kaelen est en colère contre vous, l'idée est qu'il soit en colère contre vous... pas contre l'espèce humaine entière.
- **🎬 Entrées de partie et exploration avec moins de théâtre étrange**
  - J'ai corrigé plusieurs cas où la narration insinuait que quelqu'un était devant vous, mais que le système ne le soutenait pas en arrière-plan. Il y a désormais moins de marchands fantômes, moins d'interlocuteurs évaporés et moins de scènes qui ressemblent à une pièce expérimentale sans budget.
  - J'ai également réduit les cas où l'IA plaçait des cadeaux, des stocks ou des objets narratifs là où ils n'avaient pas leur place, en particulier lors des arrivées et des premières scènes.
- **⚔️ Combat et décisions avec moins de faux pas**
  - J'ai renforcé la continuité entre l'exploration et le combat afin que l'entrée en combat dépende mieux des PNJ réellement présents et non d'une fumée narrative.
  - J'ai également corrigé plusieurs blocages où la scène restait active, mais où l'interface tombait sur des décisions médiocres ou génériques. Moins de « Continuer » pour le plaisir, plus d'options avec une intention réelle.
- **🧬 Création de personnage et ambiances plus fiables**
  - La création aléatoire de personnage est de nouveau plus stable et respecte mieux le format biographique attendu par le jeu.
  - J'ai ajusté plusieurs incohérences d'ambiance et de ressources afin que le cyberpunk, la fantasy et leurs dérivés ne se mélangent pas comme si une taverne médiévale et un bloc opératoire clandestin avaient décidé de louer le même local.","Mondes partagés, onboarding et combat plus cohérents"
hungarian,"- **🌍 Sokkal értelmesebb megosztott világok**
  - Javítottam a folytonosságot, amikor több karakter osztozik ugyanazon a világon. A játék most jobban újrahasznosítja a már érvényes helyszíneket, és kisebb teret enged az „ugyanaz a terület, csak más névvel és más kalappal” jelenségnek.
  - Javítottam a helyszíninformációkat is a kiválasztóban és az adatlapokon, így minden karakter a saját valós tartózkodási helyét mutatja, nem a szomszéd kölcsönbe adottját.
- **👥 Koherensebb NPC-k és kevésbé hajlamosak kettőződésre**
  - Megerősítettem a logikát, hogy egy már létező NPC akkor jelenjen meg újra önmagaként, amikor kell, ahelyett, hogy új névvel, új arccal vagy a ködből előkerült új kártyával újulna meg.
  - Ezenkívül egy karakter által kiváltott ellenségeskedés már nem fertőz meg varázslatos módon mindenkit. Ha Kaelen megharagszik rád, az az elképzelés, hogy rád haragszik... nem az egész emberi fajra.
- **🎬 Kevesebb furcsa színházi előadás indítás és felfedezés**
  - Javítottam több olyan esetet, amikor a narráció azt sugallta, hogy valaki előtted áll, de a rendszer nem támasztotta alá. Most kevesebb a kísértetárus, kevesebb az eltűnő beszélgetőpartner és kevesebb a nem költségvetésű kísérleti színdarabnak tűnő jelenet.
  - Csökkentettem azokat az eseteket is, amikor az AI nem odaillő ajándékokat, készleteket vagy narratív tárgyakat dobott be, különösen az érkezésekkor és az első jelenetekben.
- **⚔️ Kevésbé akadozó harc és döntések**
  - Megerősítettem a felfedezés és a harc közötti folytonosságot, hogy a harcba lépés jobban függjön a valóban jelenlévő NPC-ktől, és ne narratív füsttől.
  - Javítottam több olyan megrekedést is, ahol a jelenet tovább futott, de az interfész rossz vagy általános döntésekbe esett. Kevesebb a „Folytatás” csak úgy, több a valódi szándékú opció.
- **🧬 Megbízhatóbb karakteralkotás és környezetek**
  - A véletlenszerű karakteralkotás ismét stabilabb lett, és jobban tiszteletben tartja a játék által elvárt életrajzi formátumot.
  - Beállítottam több környezeti és erőforrásbeli inkonzisztenciát, hogy a cyberpunk, a fantasy és azok származékai ne keveredjenek úgy, mintha egy középkori kocsmát és egy illegális sebészeti rendelőt béreltek volna ugyanazt a helyet.","Koherensebb megosztott világok, onboarding és harc"
indonesian,"- **🌍 Dunia bersama yang jauh lebih masuk akal**
  - Saya telah meningkatkan kontinuitas ketika beberapa karakter berbagi dunia yang sama. Permainan sekarang memanfaatkan lokasi yang sudah valid dengan lebih baik dan menyisakan lebih sedikit ruang untuk ""zona yang sama, tetapi dengan nama dan topi yang berbeda"".
  - Saya juga telah memperbaiki informasi lokasi di pemilih dan di kartu karakter, sehingga setiap karakter menampilkan lokasi sebenarnya dan bukan pinjaman dari tetangga.
- **👥 NPC yang lebih koheren dan tidak mudah terpecah belah**
  - Saya telah memperkuat logika sehingga NPC yang sudah ada akan muncul kembali sebagai dirinya sendiri ketika waktunya tepat, alih-alih diciptakan kembali dengan nama lain, wajah lain, atau kartu baru yang muncul dari kabut.
  - Selain itu, permusuhan yang disebabkan oleh satu karakter seharusnya tidak lagi secara ajaib mencemari semua orang. Jika Kaelen marah padamu, idenya adalah dia marah padamu... bukan pada seluruh umat manusia.
- **🎬 Entri awal dan eksplorasi dengan lebih sedikit teater aneh**
  - Saya telah memperbaiki beberapa kasus di mana narasi menyiratkan bahwa seseorang ada di depan Anda, tetapi sistem tidak mendukungnya di bawahnya. Sekarang ada lebih sedikit pedagang hantu, lebih sedikit lawan bicara yang menguap, dan lebih sedikit adegan yang tampak seperti drama eksperimental tanpa anggaran.
  - Saya juga telah mengurangi kasus di mana AI menyusupkan hadiah, stok, atau item naratif di tempat yang tidak seharusnya, terutama saat kedatangan dan adegan awal.
- **⚔️ Pertempuran dan keputusan dengan lebih sedikit hambatan**
  - Saya telah memperkuat kontinuitas antara eksplorasi dan pertempuran sehingga masuk ke dalam pertarungan lebih baik bergantung pada NPC yang benar-benar ada dan bukan asap naratif.
  - Saya juga telah memperbaiki beberapa kemacetan di mana adegan masih aktif, tetapi antarmuka menghasilkan keputusan yang buruk atau umum. Lebih sedikit ""Lanjutkan"" begitu saja, lebih banyak pilihan dengan niat sebenarnya.
- **🧬 Pembuatan karakter dan pengaturan yang lebih andal**
  - Pembuatan karakter acak sekarang lebih stabil dan menghormati format biografis yang diharapkan permainan dengan lebih baik.
  - Saya telah menyesuaikan beberapa inkonsistensi pengaturan dan sumber daya sehingga cyberpunk, fantasi, dan turunannya tidak bercampur seolah-olah sebuah kedai minum abad pertengahan dan ruang operasi ilegal telah memutuskan untuk menyewa tempat yang sama.","Dunia bersama, onboarding, dan pertempuran yang lebih koheren"
italian,"- **🌍 Mondi condivisi molto più sensati**
  - Ho migliorato la continuità quando più personaggi condividono lo stesso mondo. Ora il gioco riutilizza meglio luoghi già validi e lascia meno spazio all'invenzione di ""stessa zona, ma con un altro nome e un altro cappello"".
  - Ho anche corretto le informazioni sulla posizione nel selettore e nella scheda, in modo che ogni personaggio mostri la sua reale localizzazione e non una prestata dal vicino.
- **👥 PNG più coerenti e meno inclini al doppio gioco**
  - Ho rafforzato la logica in modo che un PNG già esistente riappaia come se stesso quando necessario, invece di reinventarsi con un altro nome, un'altra faccia o una nuova carta uscita dalla nebbia.
  - Inoltre, un'inimicizia provocata da un personaggio non dovrebbe più contaminare magicamente tutti gli altri. Se Kaelen si arrabbia con te, l'idea è che si arrabbi con te... non con l'intera specie umana.
- **🎬 Ingressi di gioco ed esplorazione con meno teatro strano**
  - Ho corretto diversi casi in cui la narrazione insinuava che qualcuno fosse davanti a te, ma il sistema non lo supportava sottostantemente. Ora ci sono meno venditori fantasma, meno interlocutori evaporati e meno scene che sembrano un'opera sperimentale a basso budget.
  - Ho anche ridotto i casi in cui l'IA inseriva regali, scorte o oggetti narrativi dove non c'entravano, specialmente negli arrivi e nelle prime scene.
- **⚔️ Combattimento e decisioni con meno inciampi**
  - Ho rafforzato la continuità tra esplorazione e combattimento in modo che l'entrata in battaglia dipenda meglio da PNG realmente presenti e non da fumo narrativo.
  - Ho anche corretto diversi blocchi in cui la scena rimaneva attiva, ma l'interfaccia cadeva in decisioni povere o generiche. Meno ""Continua"" perché sì, più opzioni con un intento reale.
- **🧬 Creazione del personaggio e ambientazioni più affidabili**
  - La creazione casuale del personaggio è di nuovo più stabile e rispetta meglio il formato biografico che il gioco si aspetta.
  - Ho corretto diverse incoerenze di ambientazione e risorse in modo che cyberpunk, fantasy e i loro derivati non si mescolino come se una taverna medievale e un ospedale clandestino avessero deciso di affittare lo stesso locale.","Mondi condivisi, onboarding e combattimento più coerenti"
japanese,"- **🌍 より的確になった共有ワールド**
  - 複数のキャラクターが同じワールドを共有する際の連続性を改善しました。ゲームは有効な場所をより効率的に再利用するようになり、「同じエリアだが名前と帽子が違う」といった状況が起こりにくくなりました。
  - また、セレクターとプロフィール画面の場所情報を修正し、各キャラクターが借り物の場所ではなく、実際の現在地を表示するようにしました。
- **👥 より一貫性があり、分裂しにくいNPC**
  - 既存のNPCが、新しい名前、顔、または霧の中から現れた新規カードではなく、本来の自分として再登場するロジックを強化しました。
  - さらに、あるキャラクターによって引き起こされた敵対関係が、魔法のように他の全員に影響を与えることはなくなりました。カレンがあなたに怒った場合、それはあなたに怒っているのであって、人類全体に怒っているわけではない、という想定です。
- **🎬 奇妙な演出の少ない開始イベントと探索**
  - 物語上、目の前に誰かがいると示唆されているにも関わらず、システムがそれを支えていないといったケースを複数修正しました。幽霊のような売り手、蒸発する会話相手、予算のない実験演劇のようなシーンが少なくなりました。
  - また、特に開始時や最初のシーンで、AIが不適切な場所にギフト、在庫、物語上のアイテムを配置してしまうケースを削減しました。
- **⚔️ つまずきが減った戦闘と決断**
  - 探索と戦闘の連続性を強化し、戦闘への突入が物語上の架空の存在ではなく、実際に存在するNPCに依存するようにしました。
  - また、シーンは続いているのに、インターフェースが貧弱または一般的な決断に陥ってしまうといった複数の行き詰まりを修正しました。理由もなく「続ける」のではなく、より意図のある選択肢が増えました。
- **🧬 信頼性の高いキャラクター作成と環境設定**
  - キャラクターのランダム作成がより安定し、ゲームが期待する伝記形式をより尊重するようになりました。
  - サイバーパンク、ファンタジー、およびそれらの派生系が、中世の酒場と違法な手術室が同じ場所を借りたかのように混ざり合わないよう、環境設定とリソースの矛盾をいくつか調整しました。",共有ワールド、オンボーディング、戦闘の一貫性向上
korean,"- **🌍 훨씬 더 합리적인 공유 월드**
  - 여러 캐릭터가 같은 월드를 공유할 때의 연속성을 개선했습니다. 이제 게임은 유효한 장소를 더 잘 재활용하고, ""같은 지역이지만 이름과 외형만 다른"" 식의 어색함을 줄입니다.
  - 또한 셀렉터와 프로필의 위치 정보를 수정하여 각 캐릭터가 이웃의 위치가 아닌 실제 위치를 표시하도록 했습니다.
- **👥 더 일관되고 분열되지 않는 NPC**
  - 기존 NPC가 다시 자신으로 등장하는 로직을 강화했습니다. 이름, 얼굴, 또는 안개 속에서 나온 새 카드로 재창조되는 대신, 적절한 시점에 자신으로 다시 나타납니다.
  - 또한, 한 캐릭터로 인해 발생한 적대감이 다른 모든 캐릭터에게 마법처럼 오염되지 않도록 했습니다. Kaelen이 당신에게 화를 낸다면, 그것은 인간 전체가 아닌 당신에게 화를 내는 것입니다.
- **🎬 덜 이상한 연극 같은 시작 장면 및 탐험**
  - 당신 앞에 누군가가 있는 것처럼 암시했지만 시스템은 이를 뒷받침하지 못했던 여러 경우를 수정했습니다. 이제 유령 판매원, 증발하는 대화 상대, 예산 없는 실험 연극 같은 장면이 줄어듭니다.
  - 또한 AI가 특히 시작 장면이나 첫 장면에서, 부적절한 곳에 선물, 재고 또는 내러티브 아이템을 배치하는 경우를 줄였습니다.
- **⚔️ 덜 걸리는 전투 및 결정**
  - 탐험과 전투 간의 연속성을 강화하여, 전투 시작이 내러티브적인 연기보다는 실제로 존재하는 NPC에 더 잘 의존하도록 했습니다.
  - 또한 장면은 계속 진행되지만 인터페이스는 잘못되거나 일반적인 결정으로 빠지는 여러 막힘 현상을 수정했습니다. 이유 없는 ""계속""보다는 실제 의도가 있는 옵션을 더 많이 제공합니다.
- **🧬 더 신뢰할 수 있는 캐릭터 생성 및 배경 설정**
  - 랜덤 캐릭터 생성이 다시 더 안정적으로 작동하고 게임에서 기대하는 전기의 형식을 더 잘 존중합니다.
  - 사이버펑크, 판타지 및 파생 장르가 중세 술집과 불법 수술실이 같은 장소를 임대한 것처럼 섞이지 않도록 여러 배경 및 자원 불일치를 조정했습니다.","더 일관된 공유 월드, 온보딩 및 전투"
dutch,"- **🌍 Gedeelde werelden een stuk logischer**
  - De continuïteit is verbeterd wanneer meerdere personages dezelfde wereld delen. De game hergebruikt nu bestaande locaties beter en laat minder ruimte voor het verzinnen van ""dezelfde zone, maar dan met een andere naam en een andere hoed"".
  - Ook de locatie-informatie in de selector en op de profielkaart is gecorrigeerd, zodat elk personage zijn werkelijke locatie toont en niet die van de buurman.
- **👥 Logischere NPC's en minder geneigd tot splitsing**
  - De logica is versterkt, zodat een reeds bestaande NPC weer als zichzelf verschijnt wanneer het tijd is, in plaats van zichzelf opnieuw uit te vinden met een andere naam, een ander gezicht of een nieuwe kaart die uit de mist tevoorschijn komt.
  - Bovendien zou een vijandigheid die door een personage is veroorzaakt, niet langer magisch alle anderen moeten besmetten. Als Kaelen boos op je wordt, is het de bedoeling dat hij boos op jou wordt... niet op de hele mensheid.
- **🎬 Startscènes en verkenning met minder rare capriolen**
  - Verschillende gevallen zijn gecorrigeerd waarbij de vertelling suggereerde dat iemand voor je stond, maar het systeem dit niet ondersteunde. Er zijn nu minder spookverkopers, minder verdwijnende gesprekspartners en minder scènes die lijken op een experimenteel toneelstuk met een beperkt budget.
  - Ook is het aantal gevallen verminderd waarbij de AI cadeaus, voorraad of narratieve items op onbedoelde plekken plaatste, vooral bij aankomsten en eerste scènes.
- **⚔️ Gevechten en beslissingen met minder struikelblokken**
  - De continuïteit tussen verkenning en gevechten is versterkt, zodat het starten van een gevecht beter afhangt van daadwerkelijk aanwezige NPC's en niet van narratieve rookgordijnen.
  - Verschillende vastlopers zijn ook gecorrigeerd waarbij de scène bleef draaien, maar de interface verviel in slechte of generieke keuzes. Minder ""Ga door"" omwille van het 'ga door', meer opties met echte intentie.
- **🧬 Betrouwbaardere personagecreatie en settings**
  - Willekeurige personagecreatie is weer stabieler en respecteert het biografische formaat dat de game verwacht beter.
  - Verschillende incoherenties in settings en middelen zijn aangepast, zodat cyberpunk, fantasy en hun afgeleiden niet vermengd worden alsof een middeleeuwse taverne en een clandestiene operatiekamer besloten hadden dezelfde ruimte te huren.","Gedeelde werelden, onboarding en gevechten logischer"
norwegian,"- **🌍 Mer fornuftige delte verdener**
  - Jeg har forbedret kontinuiteten når flere karakterer deler samme verden. Spillet gjenbruker nå bedre eksisterende steder og gir mindre rom for å finne opp «samme område, bare med et annet navn og hatt».
  - Jeg har også korrigert plasseringsinformasjon i velgeren og på profilen, slik at hver karakter viser sin virkelige plassering og ikke en som er lånt fra naboen.
- **👥 Mer sammenhengende NPC-er og mindre tilbøyelighet til dobbelgjengere**
  - Jeg har styrket logikken slik at en eksisterende NPC dukker opp igjen som seg selv når det er meningen, i stedet for å finne opp en ny med et annet navn, et annet ansikt eller et nytt kort som dukker opp fra intet.
  - Dessuten burde en fiendtlighet forårsaket av én karakter ikke lenger «smitte» til alle andre magisk. Hvis Kaelen blir sint på deg, er meningen at hun skal bli sint på deg… ikke på hele menneskeheten.
- **🎬 Oppstart og utforskning med mindre rar teater**
  - Jeg har korrigert flere tilfeller der fortellingen antydet at noen sto foran deg, men systemet ikke støttet det under. Nå er det færre spøkelsesselgere, færre forsvinnende samtalepartnere og færre scener som virker som et lavbudsjetts eksperimentelt teaterstykke.
  - Jeg har også redusert tilfeller der AI-en plasserte gaver, lager eller narrative gjenstander der de ikke hørte hjemme, spesielt ved ankomster og innledende scener.
- **⚔️ Mer feilfri kamp og avgjørelser**
  - Jeg har styrket kontinuiteten mellom utforskning og kamp slik at inngangen til kamp i bedre grad avhenger av faktisk tilstedeværende NPC-er og ikke av narrativ røyk.
  - Jeg har også korrigert flere hikke der scenen fortsatte, men grensesnittet falt inn i dårlige eller generiske avgjørelser. Mindre «Fortsett» bare for å fortsette, mer valg med reell intensjon.
- **🧬 Mer pålitelig karakteropprettelse og miljøer**
  - Tilfeldig karakteropprettelse er mer stabil igjen og respekterer bedre det biografiske formatet spillet forventer.
  - Jeg har justert flere inkonsekvenser i miljø og ressurser slik at cyberpunk, fantasi og deres derivater ikke blandes som om en middelaldersk taverna og en hemmelig operasjonssal hadde bestemt seg for å leie samme lokale.","Mer sammenhengende delte verdener, onboarding og kamp"
polish,"**🌍 Znacznie sensowniejsze wspólne światy**
  - Poprawiono ciągłość sytuacji, gdy wielu bohaterów dzieli ten sam świat. Gra teraz lepiej wykorzystuje już istniejące lokacje i zostawia mniej miejsca na tworzenie „tej samej strefy, ale pod inną nazwą i z innym kapeluszem”.
  - Poprawiono również informacje o lokalizacji w selektorze i na karcie postaci, aby każdy bohater pokazywał swoje rzeczywiste położenie, a nie pożyczone od sąsiada.
- **👥 Bardziej spójni NPC-e i mniej skłonni do podwójnego odradzania się**
  - Wzmocniono logikę, aby istniejący NPC pojawiał się ponownie jako ta sama postać, gdy jest to wymagane, zamiast odradzać się pod innym imieniem, z inną twarzą lub jako nowa karta wyłaniająca się z mgły.
  - Ponadto, wrogość wywołana przez jedną postać nie powinna już magicznie przenosić się na wszystkich innych. Jeśli Kaelen jest na ciebie zły, ma być zły na ciebie... a nie na cały gatunek ludzki.
- **🎬 Wejścia do gry i eksploracja z mniejszą ilością dziwacznych teatrów**
  - Naprawiono kilka przypadków, w których narracja sugerowała, że ktoś stał przed tobą, ale system tego nie podtrzymywał. Teraz jest mniej widmowych sprzedawców, mniej ewaporujących rozmówców i mniej scen przypominających niskobudżetową sztukę eksperymentalną.
  - Zredukowano również przypadki, w których SI umieszczała prezenty, zapasy lub elementy narracyjne tam, gdzie nie powinny się pojawić, zwłaszcza podczas wejść do gry i pierwszych scen.
- **⚔️ Walka i decyzje z mniejszą ilością potknięć**
  - Wzmocniono ciągłość między eksploracją a walką, aby rozpoczęcie potyczki lepiej zależało od faktycznie obecnych NPC-ów, a nie od narracyjnych mgieł.
  - Naprawiono również kilka zacięć, w których scena nadal trwała, ale interfejs prezentował słabe lub generyczne decyzje. Mniej „Kontynuuj” bez powodu, więcej opcji z realnym zamysłem.
- **🧬 Tworzenie postaci i otoczenie - bardziej wiarygodne**
  - Losowe tworzenie postaci jest ponownie bardziej stabilne i lepiej respektuje format biograficzny oczekiwany przez grę.
  - Dostosowano kilka niespójności w otoczeniu i zasobach, aby cyberpunk, fantasy i ich pochodne nie mieszały się, jakby średniowieczna tawerna i nielegalna klinika postanowiły wynająć ten sam lokal.","Wspólne światy, onboarding i walka - bardziej spójne"
portuguese,"- **🌍 Mundos compartilhados bem mais sensatos**
  - Melhorei a continuidade quando vários personagens compartilham o mesmo mundo. Agora o jogo reaproveita melhor locais já válidos e deixa menos margem para inventar ""a mesma zona, mas com outro nome e outro chapéu"".
  - Também corrigi a informação de localização no seletor e na ficha, para que cada personagem mostre sua localização real e não uma emprestada do vizinho.
- **👥 NPCs mais coerentes e menos propensos ao desdobramento**
  - Reforcei a lógica para que um NPC já existente reapareça como ele mesmo quando deve, em vez de se reinventar com outro nome, outra cara ou uma nova carta surgida da névoa.
  - Além disso, uma inimizade provocada por um personagem não deveria mais contaminar todos os outros por arte de magia. Se Kaelen fica bravo com você, a ideia é que ele fique bravo com você... não com a espécie humana inteira.
- **🎬 Entradas de partida e exploração com menos teatro bizarro**
  - Corrigi vários casos em que a narrativa insinuava que alguém estava à sua frente, mas o sistema não o sustentava por baixo. Agora há menos vendedores fantasmas, menos interlocutores evaporados e menos cenas que parecem uma obra experimental sem orçamento.
  - Também reduzi casos em que a IA colocava presentes, estoque ou itens narrativos onde não devia, especialmente nas chegadas e primeiras cenas.
- **⚔️ Combate e decisões com menos tropeços**
  - Reforcei a continuidade entre exploração e combate para que a entrada na briga dependa melhor de NPCs realmente presentes e não de fumaça narrativa.
  - Também corrigi vários impasses onde a cena continuava ativa, mas a interface caía em decisões ruins ou genéricas. Menos ""Continuar"" sem motivo, mais opções com intenção real.
- **🧬 Criação de personagem e ambientações mais confiáveis**
  - A criação aleatória de personagem volta a ser mais estável e respeita melhor o formato biográfico que o jogo espera.
  - Ajustei várias inconsistências de ambientação e recursos para que cyberpunk, fantasia e seus derivados não se misturem como se uma taverna medieval e um centro cirúrgico clandestino tivessem decidido alugar o mesmo local.","Mundos compartilhados, onboarding e combate mais coerentes"
romanian,"- **🌍 Lumi partajate mult mai sensate**
  - Am îmbunătățit continuitatea atunci când mai multe personaje partajează aceeași lume. Jocul refolosește acum mai bine locațiile deja valide și lasă mai puțin loc pentru a inventa „aceeași zonă, dar cu alt nume și alt pălărie”.
  - Am corectat, de asemenea, informațiile despre locație în selector și pe fișă, astfel încât fiecare personaj să își afișeze locația reală și nu una împrumutată de la vecin.
- **👥 NPC-uri mai coerente și mai puțin predispuse la dublare**
  - Am întărit logica pentru ca un NPC existent să reapară ca el însuși atunci când este cazul, în loc să se reinventeze cu alt nume, altă față sau o carte nouă ieșită din ceață.
  - În plus, o dușmănie provocată de un personaj nu ar trebui să îi contamineze pe toți ceilalți prin magie. Dacă Kaelen se supără pe tine, ideea este să se supere pe tine... nu pe întreaga specie umană.
- **🎬 Intrări în joc și explorare cu mai puțin teatru ciudat**
  - Am corectat mai multe cazuri în care narațiunea sugera că cineva era în fața ta, dar sistemul nu o susținea. Acum există mai puțini vânzători fantomatici, mai puțini interlocutori evaporați și mai puține scene care par o piesă experimentală fără buget.
  - Am redus, de asemenea, cazurile în care AI-ul introducea cadouri, stocuri sau obiecte narative unde nu era cazul, în special la sosiri și în scenele de început.
- **⚔️ Luptă și decizii cu mai puține poticneli**
  - Am întărit continuitatea dintre explorare și luptă, astfel încât intrarea în luptă să depindă mai bine de NPC-urile efectiv prezente și nu de fum narativ.
  - Am corectat, de asemenea, mai multe blocaje în care scena continua să ruleze, dar interfața cădea în decizii slabe sau generice. Mai puțin „Continuă” de dragul continuării, mai multe opțiuni cu intenție reală.
- **🧬 Creare de personaje și ambientări mai fiabile**
  - Crearea aleatorie de personaje este din nou mai stabilă și respectă mai bine formatul biografic pe care îl așteaptă jocul.
  - Am ajustat mai multe inconsecvențe de ambientare și resurse, astfel încât cyberpunk, fantezie și derivatele lor să nu se amestece ca și cum o tavernă medievală și un cabinet clandestin ar fi decis să închirieze același spațiu.","Lumi mai coerente, onboarding și luptă"
russian,"- **🌍 Более разумные общие миры**
  - Я улучшил связность, когда несколько персонажей делят один и тот же мир. Теперь игра лучше использует уже существующие локации и оставляет меньше места для изобретения «той же зоны, но с другим именем и другой шляпой».
  - Я также исправил информацию о местоположении в селекторе и профиле, чтобы каждый персонаж отображал свое реальное местоположение, а не заимствованное у соседа.
- **👥 Более последовательные и менее склонные к раздвоению личности NPC**
  - Я усилил логику, чтобы существующий NPC снова появлялся как сам собой, когда это необходимо, вместо того, чтобы изобретать себя заново с другим именем, лицом или новой карточкой, появившейся из ниоткуда.
  - Кроме того, вражда, вызванная одним персонажем, больше не должна магическим образом затрагивать всех остальных. Если Каэлен злится на вас, идея в том, чтобы он злился на вас... а не на весь человеческий род.
- **🎬 Меньше странного театра в начале игры и исследовании**
  - Я исправил несколько случаев, когда повествование намекало, что кто-то перед вами, но система не поддерживала это. Теперь меньше призрачных торговцев, меньше испаряющихся собеседников и меньше сцен, похожих на экспериментальную постановку с нулевым бюджетом.
  - Я также сократил количество случаев, когда ИИ вставлял подарки, товары или сюжетные предметы не туда, куда следует, особенно при входе и в первых сценах.
- **⚔️ Меньше спотыканий в бою и решениях**
  - Я усилил связь между исследованием и боем, чтобы начало сражения лучше зависело от реально присутствующих NPC, а не от повествовательного тумана.
  - Я также исправил несколько затыков, когда сцена продолжалась, но интерфейс приводил к плохим или общим решениям. Меньше «Продолжить» просто так, больше вариантов с реальным намерением.
- **🧬 Более надежное создание персонажей и атмосфера**
  - Случайное создание персонажей снова стало более стабильным и лучше соответствует биографическому формату, который ожидает игра.
  - Я исправил несколько несоответствий в атмосфере и ресурсах, чтобы киберпанк, фэнтези и их производные не смешивались так, как будто средневековая таверна и подпольная операционная решили арендовать одно и то же помещение.","Общие миры, обучение и более последовательный бой"
swedish,"- **🌍 Delade världar som fungerar bättre**
  - Jag har förbättrat kontinuiteten när flera karaktärer delar samma värld. Spelet återanvänder nu befintliga platser bättre och minskar risken för att skapa ""samma zon, men med ett annat namn och en annan hatt"".
  - Jag har också korrigerat platsinformationen i väljaren och på karaktärssidan, så att varje karaktär visar sin verkliga position och inte en som tillhör grannen.
- **👥 Mer konsekventa och mindre splittrade NPC:er**
  - Jag har förstärkt logiken så att en befintlig NPC dyker upp igen som sig själv när det är dags, istället för att återuppfinnas med ett nytt namn, ett nytt ansikte eller ett nytt kort som dykt upp ur dimman.
  - Dessutom borde en fiendskap orsakad av en karaktär inte längre magiskt smitta av sig på alla andra. Om Kaelen blir arg på dig, är tanken att hon ska vara arg på dig... inte på hela mänskligheten.
- **🎬 Startsekvenser och utforskning med mindre konstigt skådespel**
  - Jag har korrigerat flera fall där berättelsen antydde att någon stod framför dig, men systemet inte kunde stödja det. Nu finns det färre spökförsäljare, färre försvinnande samtalspartners och färre scener som känns som ett budgetexperiment.
  - Jag har också minskat antalet fall där AI:n placerade gåvor, lager eller narrativt innehåll där det inte hörde hemma, särskilt vid ankomster och i tidiga scener.
- **⚔️ Mer pålitlig strid och beslut**
  - Jag har förstärkt kopplingen mellan utforskning och strid så att inledandet av strid bättre beror på faktiskt närvarande NPC:er och inte på narrativ rökridå.
  - Jag har också korrigerat flera låsningar där scenen fortsatte att vara aktiv, men gränssnittet fastnade i dåliga eller generiska beslut. Mindre ""Fortsätt"" bara för sakens skull, fler alternativ med verklig mening.
- **🧬 Mer pålitlig karaktärsskapande och miljöer**
  - Slumpmässig karaktärsskapande är nu stabilare igen och respekterar bättre det biografiska format som spelet förväntar sig.
  - Jag har justerat flera inkonsekvenser i miljöer och resurser så att cyberpunk, fantasy och deras derivat inte blandas som om en medeltida taverna och en hemlig operationssal hade beslutat sig för att hyra samma lokal.","Delade världar, mer konsekvent onboarding och strid"
